Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-10-28T21:31:44.702Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:31:28.352Z","Included","claude-4.5-sonnet-thinking","Yes","7549","750","579263","1147","588709","0.52"
"2025-10-28T21:29:05.660Z","Included","claude-4.5-sonnet-thinking","No","575771","448","11547","487","588253","5.20"
"2025-10-28T21:29:00.045Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:28:38.775Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:28:20.464Z","Included","claude-4.5-sonnet-thinking","Yes","593","10","580503","2831","583937","0.50"
"2025-10-28T21:28:08.584Z","Errored, Not Charged","claude-4.5-sonnet-thinking","Yes","1240","11","579263","97","580611","0.43"
"2025-10-28T21:27:45.784Z","Included","claude-4.5-sonnet-thinking","Yes","568416","1847","12049","201","582513","5.14"
"2025-10-28T21:19:45.255Z","Included","claude-4.5-sonnet-thinking","No","3664","298","576174","474","580610","0.46"
"2025-10-28T21:19:43.189Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:19:31.281Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:19:16.145Z","Included","claude-4.5-sonnet-thinking","Yes","2742","873","573958","1726","579299","0.48"
"2025-10-28T21:15:40.689Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:15:38.217Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:15:15.270Z","Included","claude-4.5-sonnet-thinking","Yes","5090","67","567679","1065","573901","0.48"
"2025-10-28T21:12:17.393Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:12:16.142Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:12:09.340Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:11:53.337Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:11:36.549Z","Included","claude-4.5-sonnet-thinking","Yes","4988","1129","562691","384","569192","0.47"
"2025-10-28T21:07:28.369Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:07:24.383Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:07:12.550Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:06:57.784Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:06:36.744Z","Included","claude-4.5-sonnet-thinking","Yes","551844","1603","10847","273","564567","4.99"
"2025-10-28T21:04:58.448Z","Included","claude-4.5-sonnet-thinking","No","1009","612","562819","466","564906","0.43"
"2025-10-28T21:04:42.128Z","Included","claude-4.5-sonnet-thinking","Yes","329","10","561743","478","562560","0.42"
"2025-10-28T21:04:23.523Z","Included","claude-4.5-sonnet-thinking","Yes","5229","12","556514","172","561927","0.45"
"2025-10-28T21:04:22.970Z","Errored, Not Charged","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:04:22.061Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:04:20.783Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:04:18.969Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:04:17.735Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:04:16.585Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:04:09.855Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:03:43.587Z","Included","claude-4.5-sonnet-thinking","Yes","1112","11","555402","2335","558860","0.47"
"2025-10-28T21:03:30.311Z","Included","claude-4.5-sonnet-thinking","Yes","1654","13","553748","178","555593","0.42"
"2025-10-28T21:03:28.652Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:03:19.971Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:03:03.201Z","Included","claude-4.5-sonnet-thinking","Yes","1058","13","552690","963","554724","0.43"
"2025-10-28T21:03:02.187Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T21:02:38.319Z","Included","claude-4.5-sonnet-thinking","Yes","541843","906","12053","534","555336","4.90"
"2025-10-28T20:58:52.984Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:58:42.331Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:58:19.624Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:58:19.045Z","Errored, Not Charged","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:58:17.713Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:58:11.971Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:57:56.590Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:57:50.943Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:57:35.896Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:57:35.830Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:57:35.752Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:57:02.633Z","Included","claude-4.5-sonnet-thinking","Yes","4026","77","542038","621","546762","0.44"
"2025-10-28T20:55:07.802Z","Included","claude-4.5-sonnet-thinking","No","3712","351","542720","531","547314","0.44"
"2025-10-28T20:54:51.367Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:54:46.786Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:54:21.876Z","Included","claude-4.5-sonnet-thinking","Yes","3064","803","540153","1731","545751","0.46"
"2025-10-28T20:52:21.680Z","Included","claude-4.5-sonnet-thinking","No","3037","315","539648","504","543504","0.43"
"2025-10-28T20:52:15.063Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:51:00.956Z","Included","claude-4.5-sonnet-thinking","Yes","528127","914","12048","1453","542542","4.80"
"2025-10-28T20:43:04.323Z","Included","claude-4.5-sonnet-thinking","No","2663","350","536755","676","540444","0.43"
"2025-10-28T20:42:43.706Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:42:27.466Z","Included","claude-4.5-sonnet-thinking","Yes","492","784","536756","1265","539297","0.42"
"2025-10-28T20:41:42.966Z","Included","claude-4.5-sonnet-thinking","No","524731","1108","12698","753","539290","4.75"
"2025-10-28T20:34:01.386Z","Included","claude-4.5-sonnet-thinking","No","0","7962","0","160","8122","0.02"
"2025-10-28T20:34:00.180Z","Errored, Not Charged","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T20:33:36.143Z","Included","claude-4.5-sonnet-thinking","Yes","523883","830","12031","520","537264","4.74"
"2025-10-28T19:29:07.998Z","Included","claude-4.5-sonnet-thinking","No","5809","347","529263","570","535989","0.45"
"2025-10-28T19:28:56.765Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:28:51.689Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:28:43.146Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:28:32.391Z","Included","claude-4.5-sonnet-thinking","Yes","3568","802","525686","2851","532907","0.49"
"2025-10-28T19:27:49.971Z","Included","claude-4.5-sonnet-thinking","No","3277","358","525700","677","530012","0.43"
"2025-10-28T19:27:38.183Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:27:07.621Z","Included","claude-4.5-sonnet-thinking","Yes","514169","868","12039","1421","528497","4.67"
"2025-10-28T19:16:18.153Z","Included","claude-4.5-sonnet-thinking","No","2671","324","522855","460","526310","0.41"
"2025-10-28T19:16:12.638Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:15:52.872Z","Included","claude-4.5-sonnet-thinking","Yes","3602","833","519762","1231","525428","0.44"
"2025-10-28T19:12:28.935Z","Included","claude-4.5-sonnet-thinking","No","3337","312","519246","499","523394","0.42"
"2025-10-28T19:12:19.877Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:12:18.040Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:11:55.234Z","Included","claude-4.5-sonnet-thinking","Yes","7454","828","512305","1401","521988","0.47"
"2025-10-28T19:09:44.831Z","Included","claude-4.5-sonnet-thinking","No","7294","386","511812","545","520037","0.45"
"2025-10-28T19:09:40.322Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:09:32.193Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:09:22.873Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T19:08:58.433Z","Included","claude-4.5-sonnet-thinking","Yes","6006","1962","506298","3125","517391","0.51"
"2025-10-28T19:05:55.450Z","Included","claude-4.5-sonnet-thinking","No","1135","345","510425","402","512307","0.39"
"2025-10-28T19:05:21.603Z","Included","claude-4.5-sonnet-thinking","Yes","4628","10","505117","323","510078","0.41"
"2025-10-28T19:05:01.523Z","Included","claude-4.5-sonnet-thinking","Yes","494270","2011","12044","2017","510342","4.52"
"2025-10-28T18:56:56.232Z","Errored, Not Charged","claude-4.5-sonnet-thinking","No","1847","424","503823","441","506535","0.39"
"2025-10-28T18:56:06.393Z","Included","claude-4.5-sonnet-thinking","Yes","4715","11","498408","1227","504361","0.43"
"2025-10-28T18:55:50.925Z","Included","claude-4.5-sonnet-thinking","Yes","3163","13","495245","2702","501123","0.46"
"2025-10-28T18:55:48.552Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:55:39.991Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:55:24.637Z","Included","claude-4.5-sonnet-thinking","Yes","3553","952","492897","1529","498931","0.43"
"2025-10-28T18:52:00.204Z","Included","claude-4.5-sonnet-thinking","No","3242","328","492366","535","496471","0.40"
"2025-10-28T18:51:54.056Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:51:37.223Z","Included","claude-4.5-sonnet-thinking","Yes","8160","1153","484717","1686","495716","0.47"
"2025-10-28T18:48:05.501Z","Included","claude-4.5-sonnet-thinking","No","4024","465","488162","573","493224","0.40"
"2025-10-28T18:47:59.205Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:47:54.616Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:47:40.937Z","Included","claude-4.5-sonnet-thinking","Yes","3915","12","483532","2224","489683","0.44"
"2025-10-28T18:47:27.347Z","Included","claude-4.5-sonnet-thinking","Yes","4715","1945","480026","265","486951","0.40"
"2025-10-28T18:45:31.778Z","Included","claude-4.5-sonnet-thinking","No","4407","345","479493","561","484806","0.40"
"2025-10-28T18:45:09.273Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:44:55.920Z","Included","claude-4.5-sonnet-thinking","Yes","5805","877","474203","2471","483356","0.46"
"2025-10-28T18:41:43.525Z","Included","claude-4.5-sonnet-thinking","No","5569","270","473665","491","479995","0.40"
"2025-10-28T18:41:23.714Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:41:07.353Z","Included","claude-4.5-sonnet-thinking","Yes","13533","2342","460657","2379","478911","0.53"
"2025-10-28T18:36:31.457Z","Included","claude-4.5-sonnet-thinking","No","1886","489","471621","516","474512","0.37"
"2025-10-28T18:35:45.427Z","Included","claude-4.5-sonnet-thinking","Yes","11426","14","459479","1187","472106","0.47"
"2025-10-28T18:35:20.679Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:35:01.704Z","Included","claude-4.5-sonnet-thinking","Yes","3476","1066","456691","6002","467235","0.52"
"2025-10-28T18:30:14.233Z","Included","claude-4.5-sonnet-thinking","No","3296","252","456652","365","460565","0.37"
"2025-10-28T18:30:12.599Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:30:07.867Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:29:48.348Z","Included","claude-4.5-sonnet-thinking","Yes","5227","1175","451952","1622","459976","0.42"
"2025-10-28T18:27:45.220Z","Included","claude-4.5-sonnet-thinking","No","2747","352","453622","495","457216","0.36"
"2025-10-28T18:27:42.118Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:27:28.030Z","Included","claude-4.5-sonnet-thinking","Yes","2165","12","450776","1467","454420","0.38"
"2025-10-28T18:27:12.135Z","Included","claude-4.5-sonnet-thinking","Yes","7272","2410","444689","162","454533","0.40"
"2025-10-28T18:24:20.642Z","Included","claude-4.5-sonnet-thinking","No","6474","337","444794","433","452038","0.39"
"2025-10-28T18:24:12.147Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:23:48.674Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:23:36.552Z","Included","claude-4.5-sonnet-thinking","Yes","608","12","443504","3738","447862","0.43"
"2025-10-28T18:23:22.318Z","Included","claude-4.5-sonnet-thinking","Yes","10881","833","433807","202","445723","0.42"
"2025-10-28T18:20:36.145Z","Included","claude-4.5-sonnet-thinking","No","6324","436","437642","626","445028","0.39"
"2025-10-28T18:20:02.607Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:19:49.351Z","Included","claude-4.5-sonnet-thinking","Yes","4313","13","432623","3427","440376","0.44"
"2025-10-28T18:19:34.664Z","Included","claude-4.5-sonnet-thinking","Yes","421776","1868","12060","234","435938","3.82"
"2025-10-28T18:15:18.605Z","Included","claude-4.5-sonnet-thinking","No","10009","368","422944","584","433905","0.41"
"2025-10-28T18:15:17.326Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:14:53.267Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:14:20.016Z","Included","claude-4.5-sonnet-thinking","Yes","416637","900","12042","2541","432120","3.83"
"2025-10-28T18:12:19.149Z","Included","claude-4.5-sonnet-thinking","No","5023","354","422941","587","428905","0.37"
"2025-10-28T18:12:17.474Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:12:12.459Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:12:09.307Z","Errored, Not Charged","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:12:04.870Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:11:59.827Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:11:44.316Z","Included","claude-4.5-sonnet-thinking","Yes","9323","826","414124","2750","427023","0.46"
"2025-10-28T18:10:19.568Z","Included","claude-4.5-sonnet-thinking","No","4735","454","417887","605","423681","0.36"
"2025-10-28T18:10:16.027Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:10:11.296Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:10:09.439Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:09:56.957Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:09:44.469Z","Included","claude-4.5-sonnet-thinking","Yes","4243","7","412936","2763","419949","0.41"
"2025-10-28T18:09:28.477Z","Included","claude-4.5-sonnet-thinking","Yes","6529","893","407606","269","415297","0.36"
"2025-10-28T18:07:53.324Z","Included","claude-4.5-sonnet-thinking","No","6306","391","407100","541","414338","0.36"
"2025-10-28T18:07:50.655Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:07:49.479Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:07:48.502Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:07:47.228Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:07:28.492Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T18:07:11.011Z","Included","claude-4.5-sonnet-thinking","Yes","12412","859","395187","3115","411573","0.48"
"2025-10-28T18:06:04.732Z","Included","claude-4.5-sonnet-thinking","No","1716","581","405272","676","408245","0.33"
"2025-10-28T18:04:44.548Z","Included","claude-4.5-sonnet-thinking","Yes","8096","9","396442","1023","405570","0.39"
"2025-10-28T18:04:27.992Z","Included","claude-4.5-sonnet-thinking","Yes","2447","10","393995","4256","400708","0.42"
"2025-10-28T18:04:11.897Z","Included","claude-4.5-sonnet-thinking","Yes","383148","1039","12070","332","396589","3.47"
"2025-10-28T17:58:28.360Z","Included","claude-4.5-sonnet-thinking","No","10577","1301","383043","598","395519","0.39"
"2025-10-28T17:58:16.351Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:57:40.439Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:57:34.775Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:57:23.704Z","Included","claude-4.5-sonnet-thinking","Yes","2692","948","381556","6088","391284","0.46"
"2025-10-28T17:55:38.614Z","Included","claude-4.5-sonnet-thinking","No","2492","252","381002","383","384129","0.31"
"2025-10-28T17:55:28.530Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:55:16.239Z","Included","claude-4.5-sonnet-thinking","Yes","6221","839","375318","1484","383862","0.37"
"2025-10-28T17:51:51.236Z","Included","claude-4.5-sonnet-thinking","No","3785","470","376984","853","382092","0.33"
"2025-10-28T17:51:47.188Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:51:45.151Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:51:40.849Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:51:20.074Z","Included","claude-4.5-sonnet-thinking","Yes","2143","9","374130","1951","378233","0.34"
"2025-10-28T17:51:10.814Z","Included","claude-4.5-sonnet-thinking","Yes","0","849","375317","1194","377360","0.30"
"2025-10-28T17:50:34.979Z","Included","claude-4.5-sonnet-thinking","No","0","758","1181","19","1958","0.000"
"2025-10-28T17:48:33.069Z","Included","claude-4.5-sonnet-thinking","No","7625","583","366769","951","375928","0.36"
"2025-10-28T17:47:59.489Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:47:43.498Z","Included","claude-4.5-sonnet-thinking","Yes","10233","1223","357063","4460","372979","0.47"
"2025-10-28T17:44:46.263Z","Included","claude-4.5-sonnet-thinking","No","5774","518","360627","909","367828","0.34"
"2025-10-28T17:44:21.318Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:44:02.797Z","Included","claude-4.5-sonnet-thinking","Yes","4098","11","355812","3393","363314","0.38"
"2025-10-28T17:43:59.189Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:43:49.164Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:43:33.774Z","Included","claude-4.5-sonnet-thinking","Yes","5552","828","351443","2197","360020","0.36"
"2025-10-28T17:42:19.563Z","Included","claude-4.5-sonnet-thinking","No","3636","452","352917","515","357520","0.30"
"2025-10-28T17:42:13.859Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:42:12.314Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:41:57.790Z","Included","claude-4.5-sonnet-thinking","Yes","1951","10","350260","2148","354369","0.33"
"2025-10-28T17:41:43.708Z","Included","claude-4.5-sonnet-thinking","Yes","1233","1938","350211","434","353816","0.28"
"2025-10-28T17:39:35.582Z","Included","claude-4.5-sonnet-thinking","No","674","448","349737","613","351472","0.27"
"2025-10-28T17:39:27.826Z","Included","claude-4.5-sonnet-thinking","Yes","2480","828","347729","201","351238","0.28"
"2025-10-28T17:38:32.985Z","Included","claude-4.5-sonnet-thinking","No","2147","327","347224","455","350153","0.28"
"2025-10-28T17:38:30.635Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:38:18.364Z","Included","claude-4.5-sonnet-thinking","Yes","3054","812","344164","1186","349216","0.31"
"2025-10-28T17:37:37.945Z","Included","claude-4.5-sonnet-thinking","No","2780","379","344185","481","347825","0.29"
"2025-10-28T17:37:36.244Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:37:34.759Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:37:20.716Z","Included","claude-4.5-sonnet-thinking","Yes","341","875","344347","1494","347057","0.29"
"2025-10-28T17:36:31.486Z","Included","claude-4.5-sonnet-thinking","No","3002","1114","341989","488","346593","0.29"
"2025-10-28T17:35:28.181Z","Included","claude-4.5-sonnet-thinking","No","2673","366","340839","469","344347","0.28"
"2025-10-28T17:35:22.921Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:35:20.135Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:35:11.027Z","Included","claude-4.5-sonnet-thinking","Yes","3906","901","337441","1416","343664","0.32"
"2025-10-28T17:31:02.130Z","Included","claude-4.5-sonnet-thinking","No","3662","277","336901","407","341247","0.29"
"2025-10-28T17:30:50.232Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:30:42.143Z","Included","claude-4.5-sonnet-thinking","Yes","2710","802","334204","2084","339800","0.32"
"2025-10-28T17:30:01.147Z","Included","claude-4.5-sonnet-thinking","No","2539","275","334194","397","337405","0.27"
"2025-10-28T17:29:58.120Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:29:47.412Z","Included","claude-4.5-sonnet-thinking","Yes","2205","838","332514","1434","336991","0.30"
"2025-10-28T17:29:08.400Z","Included","claude-4.5-sonnet-thinking","No","1973","258","331981","304","334516","0.26"
"2025-10-28T17:29:05.832Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:28:59.783Z","Included","claude-4.5-sonnet-thinking","Yes","2258","805","329741","1097","333901","0.29"
"2025-10-28T17:28:22.565Z","Included","claude-4.5-sonnet-thinking","No","2057","242","329718","281","332298","0.26"
"2025-10-28T17:28:20.685Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:28:14.318Z","Included","claude-4.5-sonnet-thinking","Yes","2169","842","328085","1112","332208","0.29"
"2025-10-28T17:27:19.888Z","Included","claude-4.5-sonnet-thinking","No","1984","216","327535","276","330011","0.26"
"2025-10-28T17:27:17.091Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:27:04.646Z","Included","claude-4.5-sonnet-thinking","Yes","7609","830","320478","1118","330035","0.33"
"2025-10-28T17:26:26.688Z","Included","claude-4.5-sonnet-thinking","No","7367","403","319988","464","328222","0.31"
"2025-10-28T17:26:25.256Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
"2025-10-28T17:26:18.938Z","Included","claude-4.5-sonnet-thinking","Yes","0","0","0","0","0","0.00"
